Employee ID,Work Date,Hours,Project Code,Labor Type,Task Description,Is Overtime
EMP001,2025-12-01,8.0,PROJ-2025-001,direct,Feature development,N
EMP001,2025-12-02,8.5,PROJ-2025-001,direct,Code review,N
EMP001,2025-12-03,9.0,PROJ-2025-002,direct,Bug fixes,Y
EMP002,2025-12-01,8.0,PROJ-2025-003,direct,Data analysis,N
EMP002,2025-12-02,7.5,PROJ-2025-100,indirect,Meetings,N
EMP003,2025-12-01,8.0,PROJ-2025-002,direct,Mobile development,N
EMP003,2025-12-02,8.0,PROJ-2025-002,direct,Testing,N
EMP004,2025-12-01,6.0,PROJ-2025-101,indirect,Customer support,N
EMP004,2025-12-02,8.0,PROJ-2025-101,indirect,Issue resolution,N
EMP005,2025-12-01,8.0,PROJ-2025-004,direct,ERP enhancement,N
EMP005,2025-12-02,10.0,PROJ-2025-004,direct,Integration work,Y
